year,temperature
2010,29.5
2010,30.1
2010,28.9
2010,31.2
2011,32.0
2011,33.1
2011,31.5
2011,30.8
2012,34.2
2012,33.5
2012,32.8
2012,35.0
2013,29.9
2013,30.2
2013,28.7
2013,31.0
2014,32.5
2014,33.0
2014,31.8
2014,30.9
2015,34.1
2015,33.7
2015,32.4
2015,35.3
2016,29.8
2016,30.3
2016,28.6
2016,31.1
2017,32.2
2017,33.3
2017,31.7
2017,30.6
2018,34.0
2018,33.2
2018,32.7
2018,35.1
2019,29.7
2019,30.4
2019,28.8
2019,31.3
2020,32.3
2020,33.4
2020,31.6
2020,30.7
2021,34.3
2021,33.6
2021,32.9
2021,35.2
2022,29.6
2022,30.5
2022,28.5
2022,31.4
